"発行通番","JIS地区コード","お問合せ番号","伝票番号","出荷日","荷送人コード","荷送人ｶﾅ","荷送人名1","荷送人名2","荷送人郵便番号","荷送人住所1","荷送人住所2","荷送人住所3","荷送人TEL","支払人コード","荷受人コード","荷受人ｶﾅ","荷受人名1","荷受人名2","荷受人郵便番号","荷受人住所1","荷受人住所2","荷受人住所3","荷受人TEL","所属店名","所属店電話番号","路線着地コード","路線着店名","路線仕分番号","配送指定日","記事1","記事2","記事3","記事4","記事5","記事6","記事7","記事8","個数","パレット数","重量","容積","保険料","荷札印刷枚数","送り状印刷時間","荷札印刷時間","貨物受領書印刷時間","出荷一覧印刷時間","着店コード","荷受人郵便番号整合性チェックフラグ"
" ","14132","3205795552","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　川崎ソリッドス","クエア　店","2120013","神奈川県川崎市幸区堀川町５８０","","","044-520-0236","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13117","3205795563","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　赤羽アピレ店","．","1150055","東京都北区赤羽西１－５－１","","","03-5963-7448","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23108","3205795574","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　瑞穂通店　．","","4670806","愛知県名古屋市瑞穂区瑞穂通６－１","０－１","","052-852-2707","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13101","3205795585","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　神保町店　．","","1010051","東京都千代田区神田神保町１－２－","１","","03-5282-7850","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27123","3205795596","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　新大阪阪急ビル","店　．","5320003","大阪府大阪市淀川区宮原１－１－１","新大阪阪急ビル３Ｆ","","06-6350-7550","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14107","3205795600","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　新杉田駅店　．","","2350032","神奈川県横浜市磯子区新杉田町６","","","045-774-8812","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27115","3205795611","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　新深江店　．","","5370013","大阪府大阪市東成区大今里南６－４","－２２","","06-6975-6321","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13106","3205795622","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　上野御徒町店","．","1100005","東京都台東区上野４－４　Ｂアンド","Ｖビル","","03-6284-2002","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","26211","3205795633","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　松井山手店　．","","6100354","京都府京田辺市山手南１－１－４","","","0774-68-1108","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27203","3205795644","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　小曽根オアシス","店　．","5610812","大阪府豊中市北条町３－２－２４","","","06-6335-2757","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","26110","3205795655","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　山科ラクト店","．","6078080","京都府京都市山科区竹鼻竹ノ街道町","９１","","075-583-3010","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13111","3205795666","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　雑色駅前店　．","","1440055","東京都大田区仲六郷２－４２－１６","","","03-6424-7809","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","28217","3205795670","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　阪急川西能勢口","駅店　．","6660033","兵庫県川西市栄町２０－１－Ｗ１０","２","","072-740-3981","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14107","3205795681","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　根岸駅前店　．","","2350007","神奈川県横浜市磯子区西町１５－７","","","045-750-5750","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27117","3205795692","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　国道関目店　．","","5350031","大阪府大阪市旭区高殿６－３－１５","","","06-6954-3705","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27207","3205795703","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　高槻上牧コーナ","ン店　．","5690004","大阪府高槻市上牧南駅前町１－１","","","072-660-4655","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14111","3205795714","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　港南中央店　．","","2330004","神奈川県横浜市港南区港南中央通り","８－３５","","045-843-0174","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14205","3205795725","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　江の島店　．","","2510037","神奈川県藤沢市鵠沼海岸１－１１","","","0466-34-9010","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","26101","3205795736","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　金閣寺店　．","","6038351","京都府京都市北区衣笠大祓町１","","","075-464-4411","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27227","3205795740","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　近鉄東花園駅前","店　．","5780924","大阪府東大阪市吉田６－１－１９","","","072-967-7702","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23110","3205795751","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　環状線四女子町","店　．","4540822","愛知県名古屋市中川区四女子町１ー","１９","","052-304-8255","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27226","3205795762","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　外環藤井寺店","．","5830013","大阪府藤井寺市古室３－１６－２４","","","072-938-5267","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13115","3205795773","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　荻窪西口店　．","","1670043","東京都杉並区上荻１－１０－１２","","","03-3398-4822","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23202","3205795784","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　岡崎土井店　．","","4440204","愛知県岡崎市土井町字荒井甲３７－","１","","0564-53-7157","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23102","3205795795","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　栄オアシス２１","店　．","4610005","愛知県名古屋市東区東桜１－１１－","１","","052-959-3890","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","11109","3205795806","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　浦和大間木店","．","3360923","埼玉県さいたま市緑区大間木５９０","","","048-875-3042","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","11108","3205795810","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　浦和曲本店　．","","3360033","埼玉県さいたま市南区曲本１－１９","－１","","048-865-4655","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23220","3205795821","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　稲沢祖父江店","．","4950015","愛知県稲沢市祖父江町桜方川鳴２８","－１","","0587-81-7173","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23115","3205795832","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　一社店　．","","4650095","愛知県名古屋市名東区高社２－２５","８－１","","052-776-6662","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14107","3205795843","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　磯子テックラン","ド店　．","2350016","神奈川県横浜市磯子区磯子１－２－","１","","045-750-3691","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27109","3205795854","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　井上　明加","","5430042","大阪府大阪市天王寺区烏ケ辻１－１","－４","","08050837041","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","28207","3205795865","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　マクドナルド","伊丹大鹿店","6640013","兵庫県伊丹市瑞穂町３－１１","","","072-767-7792","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23223","3205795876","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　マクドナルド","１５５大府店","4740038","愛知県大府市森岡町５－５","","","0562-45-7125","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13121","3205795880","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　ポンテポルタ千","住店　．","1200038","東京都足立区千住橋戸町１－１３","","","03-6806-2888","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27210","3205795891","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　ビオルネ枚方店","．","5730031","大阪府枚方市岡本町６－１－１０１","","","072-846-6688","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14133","3205795902","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　ビーンズ武蔵中","原店　．","2110053","神奈川県川崎市中原区上小田中４－","２－１","","044-753-2561","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","11103","3205795913","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　コクーンシティ","店　．","3300843","埼玉県さいたま市大宮区吉敷町４－","２６３－６","","048-645-5038","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","26108","3205795924","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　イオン京都五条","モーリ　ーファンタジー店","6150035","京都府京都市右京区西院追分町２５","－１","","075-326-2645","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","22103","3205795935","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　イオン蒲原店","．","4213203","静岡県静岡市清水区蒲原３２２－１","１","","054-389-1210","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","11105","3205795946","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　イオンモール与","野店　．","3380004","埼玉県さいたま市中央区本町西５－","２－９イオンモール与野１Ｆ","","048-711-7343","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27229","3205795950","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　イオンモール四","條畷店　．","5750001","大阪府四條畷市砂４－３－２　イオ","ンモール四條畷３Ｆ","","072-800-6169","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14117","3205795961","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　たまプラーザテ","ラス店　．","2250002","神奈川県横浜市青葉区美しが丘１－","１－２","","045-904-3877","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","28102","3205795972","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　ＪＲ六甲道店","．","6570027","兵庫県神戸市灘区永手町４－１－１","プリコ六甲道","","078-822-1131","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27111","3205795983","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　ＪＲ難波駅前店","．","5560017","大阪府大阪市浪速区湊町１－４－１","－Ｂ１","","06-6635-3155","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","22342","3205795994","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　２４６長泉店","．","4110932","静岡県駿東郡長泉町南一色３２６－","３","","055-957-5239","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23216","3205796005","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　１５５常滑店","．","4790849","愛知県常滑市虹の丘７－３２","","","0569-34-6201","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14205","3205796016","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　六会店　．","","2520813","神奈川県藤沢市亀井野２－２５－４","","","0466-82-5487","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","24207","3205796020","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　鈴鹿中央通り店","．","5130808","三重県鈴鹿市西條町３９１－１","","","059-384-0185","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","8208","3205796031","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　龍ヶ崎店　．","","3010836","茨城県龍ケ崎市寺後３５７２－１","","","0297-62-2515","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
